sortpubdate,pubdate,first_author,title,pmid,pubmed_url
2014/01/20 00:00,2014 Jan 20,Santamaria JD,Do outlier inpatients experience more emergency calls in hospital? An observational cohort study.,24438419,https://pubmed.ncbi.nlm.nih.gov/24438419/
2013/01/01 00:00,2013 Jan,Dixon B,The association of blood transfusion with mortality after cardiac surgery: cause or confounding? (CME).,22574710,https://pubmed.ncbi.nlm.nih.gov/22574710/
2011/12/01 00:00,2011 Dec,Smith RJ,Automated external defibrillators and in-hospital cardiac arrest: patient survival and device performance at an Australian teaching hospital.,21741431,https://pubmed.ncbi.nlm.nih.gov/21741431/
2010/12/01 00:00,2010 Dec,Smith RJ,Fluid therapy using a balanced crystalloid solution and acid-base stability after cardiac surgery.,21143083,https://pubmed.ncbi.nlm.nih.gov/21143083/
2010/05/01 00:00,2010 May,Wall CJ,Extracorporeal membrane oxygenation: an unusual cause of acute limb compartment syndrome.,20514969,https://pubmed.ncbi.nlm.nih.gov/20514969/
2010/02/01 00:00,2010 Feb,Santamaria J,Changing cardiac arrest and hospital mortality rates through a medical emergency team takes time and constant review.,20029341,https://pubmed.ncbi.nlm.nih.gov/20029341/
2010/01/01 00:00,2010 Jan,Moore EM,Preoperative estimated glomerular filtration rate and RIFLE-classified postoperative acute kidney injury predict length of stay post-coronary bypass surgery in an Australian setting.,20191786,https://pubmed.ncbi.nlm.nih.gov/20191786/
2008/07/01 00:00,2008 Jul,Dixon B,Elevated pulmonary dead space and coagulation abnormalities suggest lung microvascular thrombosis in patients undergoing cardiac surgery.,18301879,https://pubmed.ncbi.nlm.nih.gov/18301879/
2008/01/01 00:00,2008,Dixon B,A phase 1 trial of nebulised heparin in acute lung injury.,18460218,https://pubmed.ncbi.nlm.nih.gov/18460218/
2007/05/16 00:00,2007 May 16,Jelinek M,Metamorphosis: the natural history of coronary heart disease. Sudden death is common. Unexpected death is not.,16904770,https://pubmed.ncbi.nlm.nih.gov/16904770/
2006/10/01 00:00,2006 Oct,Piercy M,Unplanned admission to the intensive care unit in postoperative patients--an indicator of quality of anaesthetic care?,17061633,https://pubmed.ncbi.nlm.nih.gov/17061633/
2006/04/03 00:00,2006 Apr 3,Tobin AE,After-hours discharges from intensive care are associated with increased mortality.,16584367,https://pubmed.ncbi.nlm.nih.gov/16584367/
2006/03/01 00:00,2006 Mar,Tobin AE,Mechanisms by which systemic salbutamol increases ventilation.,16548904,https://pubmed.ncbi.nlm.nih.gov/16548904/
2005/07/01 00:00,2005 Jul,Dixon B,Coagulation activation and organ dysfunction following cardiac surgery.,16002940,https://pubmed.ncbi.nlm.nih.gov/16002940/
2004/10/01 00:00,2004 Oct,Dixon B,The role of microvascular thrombosis in sepsis.,15535483,https://pubmed.ncbi.nlm.nih.gov/15535483/
2001/06/01 00:00,2001 Jun,Scott DA,Blood loss in elective coronary artery surgery: a comparison of centrifugal versus roller pump heads during cardiopulmonary bypass.,11426362,https://pubmed.ncbi.nlm.nih.gov/11426362/
2000/06/01 00:00,2000 Jun,Hodgson C,An investigation of the early effects of manual lung hyperinflation in critically ill patients.,10853205,https://pubmed.ncbi.nlm.nih.gov/10853205/
1999/06/01 00:00,1999 Jun,Dixon B,Proximal small bowel infarction associated with portal venous gas.,16603002,https://pubmed.ncbi.nlm.nih.gov/16603002/
